time,bitcoins
2013/7/3 0:00,11365275
2013/7/5 0:00,11373950
2013/7/7 0:00,11383325
2013/7/9 0:00,11393000
2013/7/11 0:00,11402075
2013/7/13 0:00,11409975
2013/7/15 0:00,11418325
2013/7/17 0:00,11426650
2013/7/19 0:00,11435175
2013/7/21 0:00,11444725
2013/7/23 0:00,11452850
2013/7/25 0:00,11460125
2013/7/27 0:00,11468700
2013/7/29 0:00,11477275
2013/7/31 0:00,11486875
2013/8/2 0:00,11496250
2013/8/4 0:00,11505000
2013/8/6 0:00,11514525
2013/8/8 0:00,11523975
2013/8/10 0:00,11534150
2013/8/12 0:00,11545225
2013/8/14 0:00,11553875
2013/8/16 0:00,11562350
2013/8/18 0:00,11571950
2013/8/20 0:00,11580925
2013/8/22 0:00,11591275
2013/8/24 0:00,11601300
2013/8/26 0:00,11608950
2013/8/28 0:00,11617425
2013/8/30 0:00,11627225
2013/9/1 0:00,11638150
2013/9/3 0:00,11648650
2013/9/5 0:00,11657075
2013/9/7 0:00,11665900
2013/9/9 0:00,11674450
2013/9/11 0:00,11684125
2013/9/13 0:00,11694575
2013/9/15 0:00,11704550
2013/9/17 0:00,11713200
2013/9/19 0:00,11721850
2013/9/21 0:00,11731350
2013/9/23 0:00,11742025
2013/9/25 0:00,11752400
2013/9/27 0:00,11761075
2013/9/29 0:00,11769550
2013/10/1 0:00,11778550
2013/10/3 0:00,11788075
2013/10/5 0:00,11797800
2013/10/7 0:00,11806675
2013/10/9 0:00,11815150
2013/10/11 0:00,11824450
2013/10/13 0:00,11835100
2013/10/15 0:00,11847750
2013/10/17 0:00,11857700
2013/10/19 0:00,11867500
2013/10/21 0:00,11877925
2013/10/23 0:00,11889425
2013/10/25 0:00,11900650
2013/10/27 0:00,11910050
2013/10/29 0:00,11918450
2013/10/31 0:00,11928575
2013/11/2 0:00,11938750
2013/11/4 0:00,11948650
2013/11/6 0:00,11956950
2013/11/8 0:00,11964125
2013/11/10 0:00,11971875
2013/11/12 0:00,11981475
2013/11/14 0:00,11990400
2013/11/16 0:00,11999375
2013/11/18 0:00,12008300
2013/11/20 0:00,12016250
2013/11/22 0:00,12024100
2013/11/24 0:00,12032450
2013/11/26 0:00,12041050
2013/11/28 0:00,12049750
2013/11/30 0:00,12058375
2013/12/2 0:00,12067325
2013/12/4 0:00,12076500
2013/12/6 0:00,12086050
2013/12/8 0:00,12095325
2013/12/10 0:00,12105225
2013/12/12 0:00,12113325
2013/12/14 0:00,12122475
2013/12/16 0:00,12131750
2013/12/18 0:00,12141925
2013/12/20 0:00,12152375
2013/12/22 0:00,12160600
2013/12/24 0:00,12168725
2013/12/26 0:00,12177500
2013/12/28 0:00,12185975
2013/12/30 0:00,12194575
2014/1/1 0:00,12203800
2014/1/3 0:00,12211525
2014/1/5 0:00,12219725
2014/1/7 0:00,12228825
2014/1/9 0:00,12238275
2014/1/11 0:00,12248500
2014/1/13 0:00,12258325
2014/1/15 0:00,12266450
2014/1/17 0:00,12275275
2014/1/19 0:00,12283950
2014/1/21 0:00,12292825
2014/1/23 0:00,12302025
2014/1/25 0:00,12310800
2014/1/27 0:00,12318825
2014/1/29 0:00,12326925
2014/1/31 0:00,12335525
2014/2/2 0:00,12344900
2014/2/4 0:00,12353975
2014/2/6 0:00,12362425
2014/2/8 0:00,12370925
2014/2/10 0:00,12378525
2014/2/12 0:00,12386875
2014/2/14 0:00,12396150
2014/2/16 0:00,12405475
